config,run_name,pattern,rate,seed,mode,mae_T,rmse_T,mae_RH,rmse_RH,mae_wspd,rmse_wspd,mae_P,rmse_P,mae_q,rmse_q,mae_mean,rmse_mean
experiments/configs/round1/era5_direct_medium_r20_s42.yaml,era5_direct_medium_r20_s42,medium,0.2,42,mean_bias,0.20522144436836243,0.27284035086631775,0.6958862543106079,0.8844366669654846,0.5181003212928772,0.8556765913963318,0.2216631919145584,0.356186181306839,0.27470147609710693,0.3849346339702606,0.3831145167350769,0.5508148670196533
experiments/configs/round1/era5_direct_medium_r20_s42.yaml,era5_direct_medium_r20_s42,medium,0.2,42,linear,0.20438672602176666,0.2711081802845001,0.6837342381477356,0.8356766700744629,0.512611985206604,0.856332004070282,0.22528713941574097,0.3555264174938202,0.2749383747577667,0.3849729001522064,0.38019171357154846,0.5407232046127319
experiments/configs/round1/era5_direct_medium_r20_s43.yaml,era5_direct_medium_r20_s43,medium,0.2,43,none,0.20722925662994385,0.2757774889469147,0.7112177014350891,0.9034133553504944,0.5191440582275391,0.9091999530792236,0.21959978342056274,0.3601720631122589,0.28515297174453735,0.4140918552875519,0.38846874237060547,0.5725309252738953
experiments/configs/round1/era5_direct_medium_r20_s43.yaml,era5_direct_medium_r20_s43,medium,0.2,43,mean_bias,0.2046852856874466,0.27299147844314575,0.6945601105690002,0.8833987712860107,0.5154740214347839,0.8595377206802368,0.22141483426094055,0.355752170085907,0.27477777004241943,0.3854672312736511,0.38218241930007935,0.5514295101165771
experiments/configs/round1/era5_direct_medium_r20_s43.yaml,era5_direct_medium_r20_s43,medium,0.2,43,linear,0.20367920398712158,0.2709902226924896,0.6805440187454224,0.8326035737991333,0.5104321241378784,0.8602266311645508,0.22502487897872925,0.3550763428211212,0.27501121163368225,0.38551539182662964,0.3789382874965668,0.540882408618927
experiments/configs/round1/era5_direct_medium_r20_s44.yaml,era5_direct_medium_r20_s44,medium,0.2,44,none,0.20638374984264374,0.2752023935317993,0.71182781457901,0.9046307802200317,0.5152632594108582,0.8949761986732483,0.21775957942008972,0.3572821617126465,0.2860725224018097,0.4145999550819397,0.3874613642692566,0.5693382620811462
experiments/configs/round1/era5_direct_medium_r20_s44.yaml,era5_direct_medium_r20_s44,medium,0.2,44,mean_bias,0.2043810784816742,0.272607684135437,0.6963183879852295,0.8852540254592896,0.5112515091896057,0.8451648354530334,0.21988297998905182,0.3531701862812042,0.2743859887123108,0.38520875573158264,0.3812440037727356,0.5482810735702515
experiments/configs/round1/era5_direct_medium_r20_s44.yaml,era5_direct_medium_r20_s44,medium,0.2,44,linear,0.20371869206428528,0.27103307843208313,0.681743323802948,0.8343597054481506,0.5069865584373474,0.8461436629295349,0.22354502975940704,0.35256361961364746,0.274615079164505,0.38525810837745667,0.3781217634677887,0.5378716588020325
experiments/configs/round1/era5_direct_medium_r40_s42.yaml,era5_direct_medium_r40_s42,medium,0.4,42,none,0.20621925592422485,0.2744765877723694,0.7100543975830078,0.9017640948295593,0.5156374573707581,0.891572892665863,0.2180486023426056,0.35863542556762695,0.28763338923454285,0.41618770360946655,0.38751858472824097,0.568527340888977
experiments/configs/round1/era5_direct_medium_r40_s42.yaml,era5_direct_medium_r40_s42,medium,0.4,42,mean_bias,0.20431271195411682,0.27208173274993896,0.6928089261054993,0.8807647228240967,0.5108394622802734,0.8417527675628662,0.220286026597023,0.35437485575675964,0.27569153904914856,0.3864709734916687,0.38078773021698,0.5470889806747437
experiments/configs/round1/era5_direct_medium_r40_s42.yaml,era5_direct_medium_r40_s42,medium,0.4,42,linear,0.2036820948123932,0.2705930471420288,0.6783910989761353,0.8303507566452026,0.5069477558135986,0.8432355523109436,0.22407619655132294,0.3537949323654175,0.2759245038032532,0.38651302456855774,0.37780433893203735,0.5368974804878235
experiments/configs/round1/era5_direct_medium_r40_s43.yaml,era5_direct_medium_r40_s43,medium,0.4,43,none,0.20565029978752136,0.27404770255088806,0.7092691659927368,0.9013902544975281,0.5129314064979553,0.8943240642547607,0.21761557459831238,0.3579302728176117,0.28718283772468567,0.41602623462677,0.3865298628807068,0.5687437057495117
experiments/configs/round1/era5_direct_medium_r40_s43.yaml,era5_direct_medium_r40_s43,medium,0.4,43,mean_bias,0.20355954766273499,0.27166780829429626,0.6919446587562561,0.8807508945465088,0.5094676613807678,0.8455294370651245,0.21971414983272552,0.3535970449447632,0.27618980407714844,0.3865196704864502,0.3801751732826233,0.5476129651069641
experiments/configs/round1/era5_direct_medium_r40_s43.yaml,era5_direct_medium_r40_s43,medium,0.4,43,linear,0.20283207297325134,0.27003172039985657,0.6785076856613159,0.8306970596313477,0.5051975846290588,0.846790611743927,0.22356653213500977,0.35306215286254883,0.27642059326171875,0.3865649998188019,0.37730488181114197,0.5374292731285095
experiments/configs/round1/era5_direct_medium_r40_s44.yaml,era5_direct_medium_r40_s44,medium,0.4,44,none,0.2056444138288498,0.2731454372406006,0.7094380259513855,0.9009851813316345,0.5133114457130432,0.8901820778846741,0.21751008927822113,0.3574342727661133,0.28830474615097046,0.4167982041835785,0.386841744184494,0.5677090287208557
experiments/configs/round1/era5_direct_medium_r40_s44.yaml,era5_direct_medium_r40_s44,medium,0.4,44,mean_bias,0.20371821522712708,0.2706265151500702,0.6916738152503967,0.8800641894340515,0.5090475082397461,0.8407365083694458,0.21965119242668152,0.3532077670097351,0.2766726613044739,0.3872375786304474,0.3801526725292206,0.5463745594024658
experiments/configs/round1/era5_direct_medium_r40_s44.yaml,era5_direct_medium_r40_s44,medium,0.4,44,linear,0.20320247113704681,0.2692505717277527,0.6784117817878723,0.8303780555725098,0.505192220211029,0.8421755433082581,0.22348517179489136,0.35267218947410583,0.2769022285938263,0.3872785270214081,0.3774387836456299,0.5363509654998779
experiments/configs/round1/era5_direct_medium_r60_s42.yaml,era5_direct_medium_r60_s42,medium,0.6,42,none,0.2062108963727951,0.27444589138031006,0.7115539312362671,0.9037364721298218,0.5142068266868591,0.888334333896637,0.21826785802841187,0.35820701718330383,0.28773653507232666,0.4171285331249237,0.3875952363014221,0.5683704614639282
experiments/configs/round1/era5_direct_medium_r60_s42.yaml,era5_direct_medium_r60_s42,medium,0.6,42,mean_bias,0.20453956723213196,0.2723280191421509,0.6946266293525696,0.8831236362457275,0.5093992948532104,0.8385060429573059,0.22082774341106415,0.3543226718902588,0.27541491389274597,0.3873208165168762,0.3809615969657898,0.547120213508606
experiments/configs/round1/era5_direct_medium_r60_s42.yaml,era5_direct_medium_r60_s42,medium,0.6,42,linear,0.20392745733261108,0.27105721831321716,0.68073970079422,0.8327431082725525,0.5050685405731201,0.8394550085067749,0.22455857694149017,0.35377997159957886,0.2756444811820984,0.3873501718044281,0.3779877722263336,0.5368770956993103
experiments/configs/round1/era5_direct_medium_r60_s43.yaml,era5_direct_medium_r60_s43,medium,0.6,43,none,0.20619040727615356,0.2743319571018219,0.7101101875305176,0.9024145007133484,0.5120818018913269,0.8868792653083801,0.21804116666316986,0.3580014705657959,0.28654175996780396,0.41551902890205383,0.3865930438041687,0.56742924451828
experiments/configs/round1/era5_direct_medium_r60_s43.yaml,era5_direct_medium_r60_s43,medium,0.6,43,mean_bias,0.20450147986412048,0.27224355936050415,0.6935911178588867,0.8824467658996582,0.5078732967376709,0.8378090858459473,0.22056151926517487,0.3540553152561188,0.27505290508270264,0.38612326979637146,0.3803160786628723,0.5465356111526489
experiments/configs/round1/era5_direct_medium_r60_s43.yaml,era5_direct_medium_r60_s43,medium,0.6,43,linear,0.203803151845932,0.2708829343318939,0.6811346411705017,0.8332245349884033,0.5034204125404358,0.8386738300323486,0.22428174316883087,0.3535121977329254,0.27528321743011475,0.38615697622299194,0.37758463621139526,0.5364900827407837
experiments/configs/round1/era5_direct_medium_r60_s44.yaml,era5_direct_medium_r60_s44,medium,0.6,44,none,0.2064518928527832,0.27439796924591064,0.710677444934845,0.9029690623283386,0.512273371219635,0.8847084045410156,0.2181764543056488,0.358059287071228,0.2870286703109741,0.4155714213848114,0.38692158460617065,0.5671412348747253
experiments/configs/round1/era5_direct_medium_r60_s44.yaml,era5_direct_medium_r60_s44,medium,0.6,44,mean_bias,0.20480692386627197,0.2722398340702057,0.693608283996582,0.882335364818573,0.5080456733703613,0.8355731964111328,0.220659077167511,0.35414570569992065,0.27479055523872375,0.3857806921005249,0.38038212060928345,0.5460149645805359
