run_name,model,variant,station_id,pattern,rate,seed,result_path,mae_mean,rmse_mean,mae_T,mae_RH,mae_wspd,mae_P,mae_q,rmse_T,rmse_RH,rmse_wspd,rmse_P,rmse_q,best_epoch,val_mae_mean
sabc_residual_heldout_nico_long_r40_s43,ecbit_sabc,sabc_residual,nico,long,0.4,43,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_nico_long_r40_s43/result.json,0.17338772118091583,0.21377024054527283,0.18100407719612122,0.3157423436641693,0.19307148456573486,0.10050659626722336,0.07661408931016922,0.23290401697158813,0.3735660910606384,0.24848859012126923,0.11821984499692917,0.09567265957593918,44,0.250418096780777
sabc_residual_heldout_nico_long_r40_s44,ecbit_sabc,sabc_residual,nico,long,0.4,44,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_nico_long_r40_s44/result.json,0.18150006234645844,0.22150103747844696,0.17527490854263306,0.3078870475292206,0.1991083323955536,0.16607075929641724,0.05915927141904831,0.22597581148147583,0.3686183989048004,0.256180077791214,0.1819520890712738,0.07477884739637375,45,0.25258731842041016
sabc_residual_heldout_nico_medium_r40_s42,ecbit_sabc,sabc_residual,nico,medium,0.4,42,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_nico_medium_r40_s42/result.json,0.149995356798172,0.18925300240516663,0.1746940314769745,0.1951550543308258,0.19593045115470886,0.13184700906276703,0.05235019698739052,0.22827571630477905,0.2459842562675476,0.25249356031417847,0.15080121159553528,0.06871026754379272,48,0.24893197417259216
sabc_residual_heldout_nico_medium_r40_s43,ecbit_sabc,sabc_residual,nico,medium,0.4,43,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_nico_medium_r40_s43/result.json,0.15784336626529694,0.1988488882780075,0.1705603450536728,0.26305708289146423,0.20196934044361115,0.09526195377111435,0.058368127793073654,0.22531677782535553,0.31976568698883057,0.2592306435108185,0.11551937460899353,0.07441198825836182,45,0.2491869181394577
sabc_residual_heldout_nico_medium_r40_s44,ecbit_sabc,sabc_residual,nico,medium,0.4,44,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_nico_medium_r40_s44/result.json,0.1532890349626541,0.19379065930843353,0.16575004160404205,0.2337726503610611,0.1984662562608719,0.10637497156858444,0.06208125501871109,0.21768273413181305,0.2880101799964905,0.256540447473526,0.1272943764925003,0.07942559570074081,45,0.24912314116954803
sabc_residual_heldout_nico_short_r40_s42,ecbit_sabc,sabc_residual,nico,short,0.4,42,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_nico_short_r40_s42/result.json,0.1351008117198944,0.17406730353832245,0.16811509430408478,0.1638263612985611,0.19709919393062592,0.08842311054468155,0.058040227741003036,0.2227403223514557,0.20840045809745789,0.2554078698158264,0.10846405476331711,0.07532380521297455,45,0.24231886863708496
sabc_residual_heldout_nico_short_r40_s43,ecbit_sabc,sabc_residual,nico,short,0.4,43,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_nico_short_r40_s43/result.json,0.13445180654525757,0.17307722568511963,0.16471104323863983,0.16466480493545532,0.1958804726600647,0.09068690240383148,0.05631577596068382,0.2183874100446701,0.20770296454429626,0.2548424303531647,0.11178815364837646,0.07266515493392944,49,0.24197033047676086
sabc_residual_heldout_nico_short_r40_s44,ecbit_sabc,sabc_residual,nico,short,0.4,44,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_nico_short_r40_s44/result.json,0.13402101397514343,0.1720011830329895,0.16243834793567657,0.16529792547225952,0.19692222774028778,0.08942162990570068,0.05602498725056648,0.21467548608779907,0.20988821983337402,0.25388652086257935,0.10924430191516876,0.0723114088177681,47,0.24150414764881134
sabc_residual_heldout_zhongshan_long_r40_s42,ecbit_sabc,sabc_residual,zhongshan,long,0.4,42,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_zhongshan_long_r40_s42/result.json,0.2757222056388855,0.3580283522605896,0.13053709268569946,0.45774024724960327,0.4385557174682617,0.04480544105172157,0.30697253346443176,0.1761678010225296,0.5753557682037354,0.5579367280006409,0.05715974420309067,0.4235217571258545,48,0.2516850531101227
sabc_residual_heldout_zhongshan_long_r40_s43,ecbit_sabc,sabc_residual,zhongshan,long,0.4,43,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_zhongshan_long_r40_s43/result.json,0.2708624601364136,0.3495050072669983,0.13074566423892975,0.44086217880249023,0.4306776225566864,0.044239677488803864,0.3077872097492218,0.17816409468650818,0.5492873191833496,0.5482239723205566,0.05606823042035103,0.41578149795532227,44,0.250418096780777
sabc_residual_heldout_zhongshan_long_r40_s44,ecbit_sabc,sabc_residual,zhongshan,long,0.4,44,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_zhongshan_long_r40_s44/result.json,0.27549269795417786,0.35600391030311584,0.13278771936893463,0.44988685846328735,0.4380960762500763,0.044561054557561874,0.31213173270225525,0.1798693686723709,0.5632064342498779,0.5532695055007935,0.05685752257704735,0.42681679129600525,45,0.25258731842041016
sabc_residual_heldout_zhongshan_medium_r40_s42,ecbit_sabc,sabc_residual,zhongshan,medium,0.4,42,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_zhongshan_medium_r40_s42/result.json,0.2721463143825531,0.3522547483444214,0.13950011134147644,0.4309605658054352,0.42800331115722656,0.044001247733831406,0.3182663917541504,0.18899570405483246,0.5397571921348572,0.5470375418663025,0.055940307676792145,0.4295429289340973,48,0.24893197417259216
sabc_residual_heldout_zhongshan_medium_r40_s43,ecbit_sabc,sabc_residual,zhongshan,medium,0.4,43,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_zhongshan_medium_r40_s43/result.json,0.2770468592643738,0.35931599140167236,0.143771693110466,0.44039973616600037,0.41734060645103455,0.055194027721881866,0.3285282254219055,0.19159674644470215,0.5505840182304382,0.5336315631866455,0.06941438466310501,0.4513532519340515,45,0.2491869181394577
sabc_residual_heldout_zhongshan_medium_r40_s44,ecbit_sabc,sabc_residual,zhongshan,medium,0.4,44,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_zhongshan_medium_r40_s44/result.json,0.2723916172981262,0.3530486226081848,0.13433371484279633,0.4376269578933716,0.4272160232067108,0.04293561354279518,0.3198457360267639,0.18283693492412567,0.5527353882789612,0.5402861833572388,0.05478925630450249,0.43459534645080566,45,0.24912314116954803
sabc_residual_heldout_zhongshan_short_r40_s42,ecbit_sabc,sabc_residual,zhongshan,short,0.4,42,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_zhongshan_short_r40_s42/result.json,0.26278603076934814,0.34056827425956726,0.13761262595653534,0.4114776849746704,0.4083864390850067,0.04745853692293167,0.30899491906166077,0.18377864360809326,0.519135057926178,0.5225644111633301,0.059967733919620514,0.41739553213119507,45,0.24231886863708496
sabc_residual_heldout_zhongshan_short_r40_s43,ecbit_sabc,sabc_residual,zhongshan,short,0.4,43,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_zhongshan_short_r40_s43/result.json,0.26005738973617554,0.33694005012512207,0.12787416577339172,0.4132336676120758,0.4034856855869293,0.04744945466518402,0.3082439601421356,0.17171497642993927,0.5184968113899231,0.5155782699584961,0.06034444645047188,0.4185658097267151,49,0.24197033047676086
sabc_residual_heldout_zhongshan_short_r40_s44,ecbit_sabc,sabc_residual,zhongshan,short,0.4,44,experiments/results/metrics/exploration_sabc_v2/sabc_residual_heldout_zhongshan_short_r40_s44/result.json,0.2632199227809906,0.34128624200820923,0.13711600005626678,0.41221511363983154,0.4086235761642456,0.049850668758153915,0.30829426646232605,0.18462085723876953,0.5157984495162964,0.5225132703781128,0.06318460404872894,0.4203140139579773,47,0.24150414764881134
