run_name,pattern,rate,seed,model,variable,status,alpha,target_coverage,qhat,interval_width,test_coverage,test_mae,n_val,n_test
itransformer_era5_short_r40_s42,short,0.4,42,itransformer_era5,all,ok,0.1,0.9,0.6768546104431152,1.3537092208862305,0.8889623284339905,0.26570162177085876,187003,183010
itransformer_era5_short_r40_s43,short,0.4,43,itransformer_era5,T,ok,0.1,0.9,0.3051927983760834,0.6103855967521667,0.9026616215705872,0.141994908452034,38866,39224
itransformer_era5_short_r40_s43,short,0.4,43,itransformer_era5,RH,ok,0.1,0.9,1.0681860446929932,2.1363720893859863,0.860907256603241,0.5873697996139526,42208,41555
itransformer_era5_short_r40_s43,short,0.4,43,itransformer_era5,wspd,ok,0.1,0.9,0.8387348651885986,1.6774697303771973,0.9177020192146301,0.3636223375797272,23770,20122
itransformer_era5_short_r40_s43,short,0.4,43,itransformer_era5,P,ok,0.1,0.9,0.12754231691360474,0.2550846338272095,0.9073131680488586,0.06005395948886871,44066,43620
itransformer_era5_short_r40_s43,short,0.4,43,itransformer_era5,q,ok,0.1,0.9,0.5457034707069397,1.0914069414138794,0.8846322894096375,0.24157585203647614,38233,38737
itransformer_era5_short_r40_s43,short,0.4,43,itransformer_era5,all,ok,0.1,0.9,0.678025484085083,1.356050968170166,0.8874701261520386,0.2688671350479126,187143,183258
itransformer_era5_short_r40_s44,short,0.4,44,itransformer_era5,T,ok,0.1,0.9,0.3064334988594055,0.612866997718811,0.9076007604598999,0.1385088860988617,38728,39167
itransformer_era5_short_r40_s44,short,0.4,44,itransformer_era5,RH,ok,0.1,0.9,1.067180871963501,2.134361743927002,0.8690398931503296,0.5800586342811584,42419,41631
itransformer_era5_short_r40_s44,short,0.4,44,itransformer_era5,wspd,ok,0.1,0.9,0.835391640663147,1.670783281326294,0.9202895164489746,0.36113327741622925,23758,20173
itransformer_era5_short_r40_s44,short,0.4,44,itransformer_era5,P,ok,0.1,0.9,0.1178668737411499,0.2357337474822998,0.8866176605224609,0.0594639889895916,44193,43393
itransformer_era5_short_r40_s44,short,0.4,44,itransformer_era5,q,ok,0.1,0.9,0.5579409599304199,1.1158819198608398,0.8882330060005188,0.24072706699371338,38093,38795
itransformer_era5_short_r40_s44,short,0.4,44,itransformer_era5,all,ok,0.1,0.9,0.6804036498069763,1.3608072996139526,0.8899316787719727,0.2663143575191498,187191,183159
