station,station_id,split,variable,n_steps,missing_rate,block_count,mean_block_steps,median_block_steps,p90_block_steps,max_block_steps,mean_block_hours,max_block_days,long_block_count_ge_72,long_block_missing_share
Erin,erin,main,RH,79384,0.5889347979441701,475,98.42526315789473,3.0,12.600000000000023,29224,295.2757894736842,3653.0,18,0.9548468514715948
Bear Peninsula,bear_peninsula,main,T,32144,0.26879044300647087,1874,4.610458911419424,2.0,4.0,2929,13.83137673425827,366.125,5,0.5208333333333334
Bear Peninsula,bear_peninsula,main,P,32144,0.23357391737182678,1232,6.0941558441558445,2.0,5.0,2928,18.282467532467535,366.0,5,0.5968300479488545
Bear Peninsula,bear_peninsula,main,wspd,32144,0.6958997013439522,2418,9.251033912324235,2.0,6.0,12019,27.753101736972706,1502.375,5,0.6845634583575484
Bear Peninsula,bear_peninsula,main,RH,32144,0.3223618715778995,570,18.178947368421053,2.0,15.0,2928,54.53684210526316,366.0,9,0.7171395483497395
Nico,nico,heldout,T,84736,0.21807732250755288,3440,5.371802325581395,1.0,4.0,4599,16.115406976744186,574.875,9,0.6189187726608583
Nico,nico,heldout,P,84736,0.13922063821752265,124,95.13709677419355,1.5,30.10000000000001,4595,285.41129032258067,574.375,10,0.9592269220988386
Nico,nico,heldout,wspd,84736,0.20843561178247735,1862,9.485499462943071,1.0,6.0,4599,28.456498388829214,574.875,18,0.702468576605141
Nico,nico,heldout,RH,84736,0.13950387084592145,136,86.91911764705883,1.0,22.5,4595,260.75735294117646,574.375,10,0.9602402504018273
Sabrina,sabrina,heldout,T,37736,0.17397180411278354,3127,2.0994563479373203,2.0,4.0,108,6.298369043811961,13.5,1,0.01645087585681645
Sabrina,sabrina,heldout,P,37736,0.051515793936824254,21,92.57142857142857,4.0,21.0,1752,277.7142857142857,219.0,2,0.9567901234567902
Sabrina,sabrina,heldout,wspd,37736,0.22000211999152003,3175,2.614803149606299,2.0,4.0,1597,7.844409448818897,199.625,1,0.19236328595519153
Sabrina,sabrina,heldout,RH,37736,0.16125185499258002,47,129.46808510638297,2.0,7.199999999999996,5848,388.4042553191489,731.0,2,0.9789646672144617
Zhongshan,zhongshan,heldout,T,93032,0.25826597299853815,20727,1.1592126212187002,1.0,1.0,16,3.4776378636561005,2.0,0,0.0
Zhongshan,zhongshan,heldout,P,93032,0.20354286697050478,18927,1.0004755111745125,1.0,1.0,3,3.0014265335235377,0.375,0,0.0
Zhongshan,zhongshan,heldout,wspd,93032,0.4178454725255826,20670,1.880648282535075,1.0,3.0,54,5.641944847605225,6.75,0,0.0
Zhongshan,zhongshan,heldout,RH,93032,0.407343709691289,139,272.63309352517985,1.0,1.0,37756,817.8992805755395,4719.5,1,0.9963056786995989
Butcher Ridge,butcher_ridge,heldout,T,38168,0.2499214001257598,4022,2.3717056190949775,2.0,4.0,717,7.115116857284932,89.625,4,0.125589684453297
Butcher Ridge,butcher_ridge,heldout,P,38168,0.06673129322993084,240,10.6125,5.0,5.0,717,31.837500000000002,89.625,4,0.4691794267765999
Butcher Ridge,butcher_ridge,heldout,wspd,38168,0.46853385034583944,3378,5.2939609236234455,2.0,6.0,812,15.881882770870337,101.5,43,0.3663255605882682
Butcher Ridge,butcher_ridge,heldout,RH,38168,0.06673129322993084,240,10.6125,5.0,5.0,717,31.837500000000002,89.625,4,0.4691794267765999
Mount Sidley,mount_sidley,heldout,T,32032,0.2205919080919081,2439,2.8970889708897087,1.0,4.0,1343,8.691266912669127,167.875,7,0.29082932352108687
Mount Sidley,mount_sidley,heldout,P,32032,0.07149100899100899,80,28.625,1.0,37.50000000000021,1340,85.875,167.5,7,0.8956331877729258
Mount Sidley,mount_sidley,heldout,wspd,32032,0.31324925074925075,3068,3.270534550195567,2.0,5.0,1340,9.8116036505867,167.5,7,0.20560095674706
Mount Sidley,mount_sidley,heldout,RH,32032,0.1117007992007992,70,51.114285714285714,1.0,61.30000000000002,2674,153.34285714285716,334.25,7,0.9460592509782001
