run_name,config,checkpoint,pattern,rate,seed,perturbation,mae_T,rmse_T,mae_RH,rmse_RH,mae_wspd,rmse_wspd,mae_P,rmse_P,mae_q,rmse_q,mae_mean,rmse_mean
ecbit_full_medium_r60_s42,experiments/configs/round2_gated/ecbit_full_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/best.pt,medium,0.6,42,baseline,0.16135762631893158,0.21592840552330017,0.4429492950439453,0.5858785510063171,0.42969179153442383,0.6807878613471985,0.052451830357313156,0.06808848679065704,0.21824663877487183,0.3183166980743408,0.26093944907188416,0.37379997968673706
ecbit_full_medium_r60_s42,experiments/configs/round2_gated/ecbit_full_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/best.pt,medium,0.6,42,downsample_12h,0.16938939690589905,0.22574295103549957,0.44943636655807495,0.5933070182800293,0.44057896733283997,0.6944615840911865,0.05390505492687225,0.06987501680850983,0.22717644274234772,0.33105215430259705,0.2680972218513489,0.38288775086402893
ecbit_full_medium_r60_s42,experiments/configs/round2_gated/ecbit_full_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/best.pt,medium,0.6,42,downsample_24h,0.19040745496749878,0.2545914947986603,0.46937987208366394,0.6184148192405701,0.48175403475761414,0.752995491027832,0.05853169038891792,0.07579781860113144,0.2515709102153778,0.36708131432533264,0.2903288006782532,0.4137762188911438
ecbit_full_medium_r60_s42,experiments/configs/round2_gated/ecbit_full_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/best.pt,medium,0.6,42,downsample_6h,0.16278032958507538,0.21746113896369934,0.44337934255599976,0.5861095190048218,0.43049049377441406,0.6816917061805725,0.05265510827302933,0.06832489371299744,0.21964609622955322,0.32023653388023376,0.26179027557373047,0.37476474046707153
ecbit_full_medium_r60_s42,experiments/configs/round2_gated/ecbit_full_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/best.pt,medium,0.6,42,mask_P,0.1752416044473648,0.23222658038139343,0.4492799937725067,0.5910568237304688,0.4674144685268402,0.7581583261489868,0.18457765877246857,0.2939987778663635,0.22771820425987244,0.3274792730808258,0.3008463978767395,0.4405839443206787
ecbit_full_medium_r60_s42,experiments/configs/round2_gated/ecbit_full_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/best.pt,medium,0.6,42,mask_RH,0.16441142559051514,0.21993379294872284,0.5396814346313477,0.703113317489624,0.4555298686027527,0.7113248705863953,0.0569063238799572,0.07486318051815033,0.22065317630767822,0.32270610332489014,0.28743645548820496,0.4063882827758789
ecbit_full_medium_r60_s42,experiments/configs/round2_gated/ecbit_full_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/best.pt,medium,0.6,42,mask_T,0.43776705861091614,0.5695369243621826,0.4664843678474426,0.6056862473487854,0.43870270252227783,0.7001619935035706,0.05528394132852554,0.07193928211927414,0.23626019060611725,0.340914249420166,0.3268996477127075,0.4576477110385895
ecbit_full_medium_r60_s42,experiments/configs/round2_gated/ecbit_full_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/best.pt,medium,0.6,42,mask_q,0.16547919809818268,0.2202937752008438,0.4445948302745819,0.5884828567504883,0.43563106656074524,0.6943226456642151,0.05379398167133331,0.06989306956529617,0.4345901608467102,0.5976205468177795,0.30681782960891724,0.43412256240844727
ecbit_full_medium_r60_s42,experiments/configs/round2_gated/ecbit_full_medium_r60_s42.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/best.pt,medium,0.6,42,mask_wspd,0.1642000824213028,0.21897149085998535,0.45840850472450256,0.6003708839416504,0.6184218525886536,0.9243176579475403,0.05997611954808235,0.08026088029146194,0.22332021594047546,0.32201698422431946,0.30486536026000977,0.4291875958442688
ecbit_full_medium_r60_s43,experiments/configs/round2_gated/ecbit_full_medium_r60_s43.yaml,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/best.pt,medium,0.6,43,baseline,0.15765157341957092,0.21281471848487854,0.437701016664505,0.5835167765617371,0.43107059597969055,0.6846489906311035,0.0501779243350029,0.06544658541679382,0.2143951654434204,0.31475216150283813,0.2581992745399475,0.37223586440086365
