station,station_id,split,eligible,selection_score,lat,lon,elev_m,institution,start,end,record_years,expected_steps,observed_steps,temporal_coverage,temperature_completeness,pressure_completeness,wind_speed_completeness,relative_humidity_completeness,core_mean_completeness,core_min_completeness,file,read_error
AGO-4,ago_4,excluded,False,142.36393378224258,-82.01,96.76,3597.0,AMRC,2013-01-01T00:00:00,2021-12-31T21:00:00,8.999315537303216,26296,26296,1.0,0.8984256160632796,0.9946379677517493,0.9737982963188317,0.8093246121083054,0.9190466230605415,0.8093246121083054,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/AGO-4_3h.csv,
aws09,aws09,excluded,False,139.87515556938394,-75.0,0.0,2900.0,IMAU,1997-01-01T00:00:00,2018-12-31T21:00:00,21.998631074606433,64280,64280,1.0,0.5930771624144369,0.907125077784692,0.863301182327318,0.6384256378344741,0.7504822650902303,0.5930771624144369,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/aws09_3h.csv,
Panda200,panda200,excluded,False,137.50127598126835,-70.97,77.19,1952.0,CHINARE,2016-12-16T00:00:00,2021-07-10T21:00:00,4.566735112936345,13344,13344,1.0,0.8908872901678657,0.997976618705036,0.9630545563549161,0.9919064748201439,0.9609562350119903,0.8908872901678657,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Panda200_3h.csv,
Brimstone Peak,brimstone_peak,excluded,False,137.10172251329791,-75.8,158.47,2138.0,POLENET,2008-12-11T00:00:00,2018-02-06T21:00:00,9.158110882956878,26760,26760,1.0,0.8730194319880419,0.9794469357249627,0.6464872944693573,0.9794469357249627,0.8696001494768312,0.6464872944693573,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Brimstone Peak_3h.csv,
Ferrell,ferrell,excluded,False,137.073087431694,-77.78,170.82,43.0,AMRC,1980-12-01T00:00:00,2021-12-31T21:00:00,41.08418891170431,120048,120048,1.0,0.6782620285219245,0.8637211781953885,0.6685825669732107,0.5940956950553112,0.7011653671864588,0.5940956950553112,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Ferrell_3h.csv,
Prospect Point,prospect_point,excluded,False,136.17076344734443,-66.01,-65.34,44.0,POLENET,2014-05-04T00:00:00,2021-12-31T21:00:00,7.663244353182751,22392,22392,1.0,0.8405234012147196,0.9948642372275813,0.762593783494105,0.9952661664880315,0.8983118971061093,0.762593783494105,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Prospect Point_3h.csv,
Wilson Nunatak,wilson_nunatak,excluded,False,136.1410908194789,-80.04,-80.56,692.0,POLENET,2010-01-13T00:00:00,2019-12-17T21:00:00,9.927446954140999,29008,29008,1.0,0.8970284059569774,0.9240899062327633,0.6092112520683949,0.9240899062327633,0.8386048676227248,0.6092112520683949,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Wilson Nunatak_3h.csv,
Bennett Nunatak,bennett_nunatak,excluded,False,135.23326129615677,-84.79,-116.46,1441.0,POLENET,2010-12-15T00:00:00,2018-01-04T21:00:00,7.058179329226557,20624,20624,1.0,0.8963828549262994,0.9887994569433669,0.6743114817688131,0.9887994569433669,0.8870733126454616,0.6743114817688131,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Bennett Nunatak_3h.csv,
Concordia,concordia,excluded,False,135.18883883753125,-75.1,123.4,3230.0,PNRA,2005-01-01T00:00:00,2021-12-31T21:00:00,16.999315537303218,49672,49672,1.0,0.5972781446287647,0.9213842808825898,0.6636736994685134,0.8679940409083589,0.7625825414720567,0.5972781446287647,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Concordia_3h.csv,
Duthiers Point,duthiers_point,excluded,False,135.12706929119003,-64.8,-62.82,78.0,POLENET,2009-04-03T00:00:00,2014-11-01T21:00:00,5.582477754962355,16312,16312,1.0,0.9063266307013241,0.9851029916625796,0.7755640019617459,0.985164296223639,0.9130394801373222,0.7755640019617459,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Duthiers Point_3h.csv,
Monte Cassino,monte_cassino,excluded,False,135.11213003221127,-72.27,163.73,1954.0,POLENET,2014-12-17T00:00:00,2021-12-31T21:00:00,7.041752224503765,20576,20576,1.0,0.8809778382581649,0.9756026438569206,0.7279840590979783,0.9756026438569206,0.8900417962674961,0.7279840590979783,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Monte Cassino_3h.csv,
Vernadsky Station,vernadsky_station,excluded,False,134.18945840136976,-65.25,-64.25,46.0,POLENET,2009-04-01T00:00:00,2017-02-18T21:00:00,7.887748117727583,23048,23048,1.0,0.8477525164873307,0.9457653592502603,0.7493925720236029,0.9458955223880597,0.8722014925373134,0.7493925720236029,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Vernadsky Station_3h.csv,
Marilyn,marilyn,excluded,False,134.02906490769007,-79.9,165.77,62.0,AMRC,1984-01-01T00:00:00,2021-08-31T21:00:00,37.667351129363446,110064,110064,1.0,0.671536560546591,0.8691761157144934,0.6368294810292193,0.5120838784707079,0.6724065089402529,0.5120838784707079,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Marilyn_3h.csv,
Panda100,panda100,excluded,False,133.79555412830115,-70.22,76.65,1352.0,CHINARE,2019-02-08T00:00:00,2021-07-10T21:00:00,2.4202600958247777,7072,7072,1.0,0.9182692307692307,0.9983031674208145,0.9254807692307693,0.9978789592760181,0.9599830316742082,0.9182692307692307,/home/horeb/_code/microclimate_demo/data/AntAWS/3_hourly/Panda100_3h.csv,
